N_req_kg_per_ha,P_req_kg_per_ha,K_req_kg_per_ha,Temperature_C,Humidity_%,pH,Crop_cotton,Crop_maize,Crop_rice
10.9332,6.074,10.9332,20,60,6.5,False,False,False
7.599690000000002,3.3776400000000004,7.599690000000002,28,65,6.0,True,False,False
11.79,6.550000000000001,11.79,20,60,6.5,False,False,False
8.1,3.6,8.1,28,65,6.0,True,False,False
52.13975000000001,25.027080000000005,45.88298,25,80,6.5,False,False,True
12.47436,6.930199999999999,12.47436,20,60,6.5,False,False,False
48.3535,23.20968,42.551080000000006,25,80,6.5,False,False,True
50.79549999999999,24.38184,44.70004,25,80,6.5,False,False,True
34.77,16.6896,30.5976,25,80,6.5,False,False,True
46.38125,22.263,40.8155,25,80,6.5,False,False,True
19.80275,9.50532,17.42642,25,80,6.5,False,False,True
31.222800000000003,13.8768,19.658800000000003,22,70,6.0,False,True,False
29.20175,14.016839999999998,25.69754,25,80,6.5,False,False,True
78.78325,37.81596,69.32925999999999,25,80,6.5,False,False,True
36.6606,16.293599999999998,23.0826,22,70,6.0,False,True,False
27.0,12.0,17.0,22,70,6.0,False,True,False
6.63786,3.6877,6.63786,20,60,6.5,False,False,False
58.019490000000005,25.78644,36.53079,22,70,6.0,False,True,False
37.2025,17.8572,32.7382,25,80,6.5,False,False,True
9.64278,5.3571,9.64278,20,60,6.5,False,False,False
15.5646,8.647,15.5646,20,60,6.5,False,False,False
13.154940000000002,7.308300000000001,13.154940000000002,20,60,6.5,False,False,False
2.82096,1.25376,2.82096,28,65,6.0,True,False,False
5.79474,2.57544,5.79474,28,65,6.0,True,False,False
18.18918,10.1051,18.18918,20,60,6.5,False,False,False
4.18896,2.3272,4.18896,20,60,6.5,False,False,False
44.19144,19.64064,27.82424,22,70,6.0,False,True,False
42.04143,18.68508,26.47053,22,70,6.0,False,True,False
27.0,12.0,17.0,22,70,6.0,False,True,False
27.0,12.0,17.0,22,70,6.0,False,True,False
48.80763,21.69228,30.73073,22,70,6.0,False,True,False
3.85722,1.7143200000000005,3.85722,28,65,6.0,True,False,False
9.99243,4.44108,9.99243,28,65,6.0,True,False,False
38.4445,18.45336,33.83116,25,80,6.5,False,False,True
8.40006,4.6667000000000005,8.40006,20,60,6.5,False,False,False
53.57875,25.7178,47.1493,25,80,6.5,False,False,True
23.3037,10.3572,14.6727,22,70,6.0,False,True,False
37.9675,18.2244,33.4114,25,80,6.5,False,False,True
19.055000000000003,9.146400000000002,16.768400000000003,25,80,6.5,False,False,True
2.38248,1.05888,2.38248,28,65,6.0,True,False,False
27.0,12.0,17.0,22,70,6.0,False,True,False
10.4517,4.6452,6.5807,22,70,6.0,False,True,False
15.54675,7.462440000000001,13.68114,25,80,6.5,False,False,True
64.34991,28.59996,40.51661,22,70,6.0,False,True,False
27.29997,12.13332,17.188869999999998,22,70,6.0,False,True,False
8.26659,3.67404,8.26659,28,65,6.0,True,False,False
18.0,10.0,18.0,20,60,6.5,False,False,False
41.414,19.87872,36.44432,25,80,6.5,False,False,True
13.415760000000002,7.453200000000001,13.415760000000002,20,60,6.5,False,False,False
71.486,34.313280000000006,62.907680000000006,25,80,6.5,False,False,True
3.78,1.6800000000000002,3.78,28,65,6.0,True,False,False
2.99997,1.33332,2.99997,28,65,6.0,True,False,False
44.80839,19.91484,28.21269,22,70,6.0,False,True,False
36.08375,17.3202,31.7537,25,80,6.5,False,False,True
25.57899,11.36844,16.10529,22,70,6.0,False,True,False
13.6521,7.5845,13.6521,20,60,6.5,False,False,False
41.52788999999999,18.45684,26.14719,22,70,6.0,False,True,False
73.65724999999999,35.35548,64.81837999999999,25,80,6.5,False,False,True
10.65042,4.73352,10.65042,28,65,6.0,True,False,False
17.333280000000002,9.6296,17.333280000000002,20,60,6.5,False,False,False
20.98962,11.660899999999998,20.98962,20,60,6.5,False,False,False
81.0,36.0,51.0,22,70,6.0,False,True,False
27.94375,13.413,24.5905,25,80,6.5,False,False,True
25.5789,14.2105,25.5789,20,60,6.5,False,False,False
27.0,12.0,17.0,22,70,6.0,False,True,False
94.5,42.0,59.5,22,70,6.0,False,True,False
27.0,12.0,17.0,22,70,6.0,False,True,False
60.32825,28.95756,53.08886,25,80,6.5,False,False,True
34.173500000000004,16.403280000000002,30.07268,25,80,6.5,False,False,True
47.822,22.95456,42.083360000000006,25,80,6.5,False,False,True
20.29275,9.74052,17.85762,25,80,6.5,False,False,True
7.776,3.4559999999999995,7.776,28,65,6.0,True,False,False
20.83788,11.5766,20.83788,20,60,6.5,False,False,False
7.84875,3.7674,6.9069,25,80,6.5,False,False,True
49.82283,22.14348,31.36993,22,70,6.0,False,True,False
22.42325,10.76316,19.73246,25,80,6.5,False,False,True
9.95409,4.42404,9.95409,28,65,6.0,True,False,False
7.78842,4.3269,7.78842,20,60,6.5,False,False,False
16.662959999999998,9.2572,16.662959999999998,20,60,6.5,False,False,False
14.82588,8.2366,14.82588,20,60,6.5,False,False,False
65.61918,29.16408,41.31578,22,70,6.0,False,True,False
30.660000000000004,14.716800000000005,26.9808,25,80,6.5,False,False,True
8.9613,3.9828,8.9613,28,65,6.0,True,False,False
81.29268,36.13008,51.18428,22,70,6.0,False,True,False
7.49304,4.1628,7.49304,20,60,6.5,False,False,False
85.725,38.1,53.975,22,70,6.0,False,True,False
18.97668,10.5426,18.97668,20,60,6.5,False,False,False
9.2898,5.161,9.2898,20,60,6.5,False,False,False
90.66654,40.29624,57.08633999999999,22,70,6.0,False,True,False
15.86601,7.05156,15.86601,28,65,6.0,True,False,False
34.72225,16.666680000000003,30.555580000000003,25,80,6.5,False,False,True
10.125,5.625,10.125,20,60,6.5,False,False,False
25.0,12.0,22.0,25,80,6.5,False,False,True
13.78386,7.657699999999999,13.78386,20,60,6.5,False,False,False
23.3514,12.973,23.3514,20,60,6.5,False,False,False
63.05499999999999,30.2664,55.4884,25,80,6.5,False,False,True
2.68218,1.19208,2.68218,28,65,6.0,True,False,False
51.86727,23.05212,32.65717,22,70,6.0,False,True,False
50.1865,24.08952,44.16412,25,80,6.5,False,False,True
44.62236,19.83216,28.095560000000003,22,70,6.0,False,True,False
4.934519999999999,2.1931199999999995,4.934519999999999,28,65,6.0,True,False,False
43.1115,20.69352,37.938120000000005,25,80,6.5,False,False,True
12.63519,5.615640000000001,12.63519,28,65,6.0,True,False,False
8.08164,4.489800000000001,8.08164,20,60,6.5,False,False,False
10.24137,4.55172,6.44827,22,70,6.0,False,True,False
23.509,11.28432,20.68792,25,80,6.5,False,False,True
7.642619999999999,4.2459,7.642619999999999,20,60,6.5,False,False,False
22.22225,10.66668,19.55558,25,80,6.5,False,False,True
84.375,37.5,53.125,22,70,6.0,False,True,False
15.608000000000002,7.491840000000002,13.73504,25,80,6.5,False,False,True
2.72727,1.21212,2.72727,28,65,6.0,True,False,False
28.7835,13.816079999999998,25.32948,25,80,6.5,False,False,True
9.81828,4.36368,9.81828,28,65,6.0,True,False,False
6.44031,2.86236,6.44031,28,65,6.0,True,False,False
15.1515,7.27272,13.33332,25,80,6.5,False,False,True
61.3205,29.43384,53.96204,25,80,6.5,False,False,True
54.0,24.0,34.0,22,70,6.0,False,True,False
31.19076,17.3282,31.19076,20,60,6.5,False,False,False
40.12497,17.833319999999997,25.26387,22,70,6.0,False,True,False
30.37125,14.5782,26.7267,25,80,6.5,False,False,True
66.36375,31.8546,58.4001,25,80,6.5,False,False,True
56.61279,25.16124,35.64509,22,70,6.0,False,True,False
33.22875,15.9498,29.241300000000003,25,80,6.5,False,False,True
27.86598,15.481099999999998,27.86598,20,60,6.5,False,False,False
22.2858,12.381,22.2858,20,60,6.5,False,False,False
11.87028,6.594600000000001,11.87028,20,60,6.5,False,False,False
37.4545,17.978160000000003,32.95996,25,80,6.5,False,False,True
13.5,6.0,13.5,28,65,6.0,True,False,False
96.01821,42.674760000000006,60.45591,22,70,6.0,False,True,False
45.31113,20.13828,28.52923,22,70,6.0,False,True,False
18.12474,10.069299999999998,18.12474,20,60,6.5,False,False,False
10.97352,6.096399999999999,10.97352,20,60,6.5,False,False,False
24.60025,11.80812,21.64822,25,80,6.5,False,False,True
1.40616,0.62496,1.40616,28,65,6.0,True,False,False
19.44504,10.8028,19.44504,20,60,6.5,False,False,False
19.478520000000003,10.8214,19.478520000000003,20,60,6.5,False,False,False
7.08453,3.14868,7.08453,28,65,6.0,True,False,False
21.998,10.55904,19.35824,25,80,6.5,False,False,True
12.76524,7.091799999999999,12.76524,20,60,6.5,False,False,False
44.91775,21.56052,39.52762,25,80,6.5,False,False,True
15.89994,8.833300000000001,15.89994,20,60,6.5,False,False,False
12.85722,7.1429,12.85722,20,60,6.5,False,False,False
64.3715,30.89832,56.64692,25,80,6.5,False,False,True
10.0,4.800000000000001,8.8,25,80,6.5,False,False,True
5.33115,2.3694,5.33115,28,65,6.0,True,False,False
19.38675,9.30564,17.06034,25,80,6.5,False,False,True
52.854,25.36992,46.51152,25,80,6.5,False,False,True
6.1209,2.7204,6.1209,28,65,6.0,True,False,False
12.5,6.0,11.0,25,80,6.5,False,False,True
15.05916,8.366200000000001,15.05916,20,60,6.5,False,False,False
27.0,12.0,17.0,22,70,6.0,False,True,False
34.20342,19.0019,34.20342,20,60,6.5,False,False,False
40.8045,19.58616,35.90796,25,80,6.5,False,False,True
9.0,5.0,9.0,20,60,6.5,False,False,False
9.31527,4.14012,9.31527,28,65,6.0,True,False,False
20.66454,11.4803,20.66454,20,60,6.5,False,False,False
16.2,7.199999999999999,10.2,22,70,6.0,False,True,False
10.36375,4.974600000000001,9.1201,25,80,6.5,False,False,True
9.96057,4.42692,9.96057,28,65,6.0,True,False,False
29.843000000000004,14.324640000000002,26.261840000000003,25,80,6.5,False,False,True
7.2,4.0,7.2,20,60,6.5,False,False,False
58.37675,28.02084,51.37154,25,80,6.5,False,False,True
120.46536,53.54016,75.84856,22,70,6.0,False,True,False
21.051900000000003,9.3564,21.051900000000003,28,65,6.0,True,False,False
17.4762,9.709,17.4762,20,60,6.5,False,False,False
21.41046,11.8947,21.41046,20,60,6.5,False,False,False
9.738,4.674239999999999,8.56944,25,80,6.5,False,False,True
2.45457,1.09092,2.45457,28,65,6.0,True,False,False
54.44631,24.19836,34.28101,22,70,6.0,False,True,False
35.37432,15.72192,22.27272,22,70,6.0,False,True,False
10.28574,5.7143,10.28574,20,60,6.5,False,False,False
72.41375000000001,34.7586,63.72410000000001,25,80,6.5,False,False,True
8.756639999999999,3.89184,5.51344,22,70,6.0,False,True,False
7.2,4.0,7.2,20,60,6.5,False,False,False
22.95432,12.7524,22.95432,20,60,6.5,False,False,False
35.35725,16.97148,31.11438,25,80,6.5,False,False,True
36.31743,16.14108,22.86653,22,70,6.0,False,True,False
10.8,6.0,10.8,20,60,6.5,False,False,False
39.38463,17.50428,24.79773,22,70,6.0,False,True,False
7.45875,3.315,7.45875,28,65,6.0,True,False,False
22.0265,10.57272,19.38332,25,80,6.5,False,False,True
14.73552,6.54912,9.27792,22,70,6.0,False,True,False
8.05653,3.58068,8.05653,28,65,6.0,True,False,False
78.32511,34.81116,49.31581,22,70,6.0,False,True,False
22.5,10.8,19.8,25,80,6.5,False,False,True
17.02971,7.56876,10.72241,22,70,6.0,False,True,False
2.43,1.08,2.43,28,65,6.0,True,False,False
10.87884,4.83504,10.87884,28,65,6.0,True,False,False
8.95104,4.9728,8.95104,20,60,6.5,False,False,False
13.94406,7.7467,13.94406,20,60,6.5,False,False,False
15.088749999999996,7.242599999999999,13.278099999999998,25,80,6.5,False,False,True
8.52633,3.78948,5.36843,22,70,6.0,False,True,False
11.88882,6.604900000000001,11.88882,20,60,6.5,False,False,False
40.3569,17.936400000000003,25.409900000000004,22,70,6.0,False,True,False
11.39292,6.329400000000001,11.39292,20,60,6.5,False,False,False
75.82275,36.39492,66.72402,25,80,6.5,False,False,True
23.29375,11.181,20.4985,25,80,6.5,False,False,True
55.99989000000001,24.88884,35.259190000000004,22,70,6.0,False,True,False
54.1065,25.97112,47.61372,25,80,6.5,False,False,True
1.79415,0.7974000000000001,1.79415,28,65,6.0,True,False,False
43.113,20.69424,37.939440000000005,25,80,6.5,False,False,True
12.5,6.0,11.0,25,80,6.5,False,False,True
5.67729,2.5232400000000004,5.67729,28,65,6.0,True,False,False
15.582059999999998,8.656699999999999,15.582059999999998,20,60,6.5,False,False,False
9.426239999999998,5.236799999999999,9.426239999999998,20,60,6.5,False,False,False
3.44304,1.53024,3.44304,28,65,6.0,True,False,False
9.39141,4.173959999999999,9.39141,28,65,6.0,True,False,False
74.69577000000001,33.19812,47.03067,22,70,6.0,False,True,False
51.9561,23.0916,32.7131,22,70,6.0,False,True,False
21.16625,10.1598,18.6263,25,80,6.5,False,False,True
21.38832,11.8824,21.38832,20,60,6.5,False,False,False
10.28574,5.7143,10.28574,20,60,6.5,False,False,False
13.87773,6.16788,8.73783,22,70,6.0,False,True,False
32.4,14.4,20.4,22,70,6.0,False,True,False
35.00475,16.80228,30.80418,25,80,6.5,False,False,True
35.0325,16.8156,30.8286,25,80,6.5,False,False,True
10.977480000000002,6.098600000000001,10.977480000000002,20,60,6.5,False,False,False
20.07693,8.92308,12.64103,22,70,6.0,False,True,False
5.99994,3.3332999999999995,5.99994,20,60,6.5,False,False,False
27.0,12.0,17.0,22,70,6.0,False,True,False
28.31706,12.58536,17.82926,22,70,6.0,False,True,False
13.84749,6.154440000000001,8.71879,22,70,6.0,False,True,False
70.74900000000001,33.959520000000005,62.25912,25,80,6.5,False,False,True
10.125,4.5,10.125,28,65,6.0,True,False,False
15.90048,8.8336,15.90048,20,60,6.5,False,False,False
75.62150000000001,36.29832,66.54692,25,80,6.5,False,False,True
42.3505,20.32824,37.26844,25,80,6.5,False,False,True
9.0,5.0,9.0,20,60,6.5,False,False,False
5.142779999999999,2.8570999999999995,5.142779999999999,20,60,6.5,False,False,False
2.87928,1.27968,2.87928,28,65,6.0,True,False,False
19.27075,9.24996,16.95826,25,80,6.5,False,False,True
27.0,12.0,17.0,22,70,6.0,False,True,False
27.0,12.0,17.0,22,70,6.0,False,True,False
10.28574,5.7143,10.28574,20,60,6.5,False,False,False
21.24625,10.1982,18.6967,25,80,6.5,False,False,True
57.73374999999999,27.7122,50.8057,25,80,6.5,False,False,True
14.9655,7.183440000000001,13.16964,25,80,6.5,False,False,True
17.300340000000002,9.6113,17.300340000000002,20,60,6.5,False,False,False
18.36675,8.81604,16.16274,25,80,6.5,False,False,True
4.711679999999999,2.6176,4.711679999999999,20,60,6.5,False,False,False
14.609,7.01232,12.85592,25,80,6.5,False,False,True
27.0,12.0,17.0,22,70,6.0,False,True,False
13.0975,6.2868,11.5258,25,80,6.5,False,False,True
29.19475,14.013479999999998,25.69138,25,80,6.5,False,False,True
17.53848,9.7436,17.53848,20,60,6.5,False,False,False
10.8,6.0,10.8,20,60,6.5,False,False,False
7.34994,3.26664,7.34994,28,65,6.0,True,False,False
32.0,15.36,28.16,25,80,6.5,False,False,True
16.82118,9.3451,16.82118,20,60,6.5,False,False,False
15.04206,8.3567,15.04206,20,60,6.5,False,False,False
27.0,12.0,17.0,22,70,6.0,False,True,False
15.31548,8.508600000000001,15.31548,20,60,6.5,False,False,False
32.93622,14.63832,20.73762,22,70,6.0,False,True,False
13.5,7.5,13.5,20,60,6.5,False,False,False
71.87325,34.49916,63.24846,25,80,6.5,False,False,True
18.75,9.0,16.5,25,80,6.5,False,False,True
9.0,5.0,9.0,20,60,6.5,False,False,False
21.00006,11.6667,21.00006,20,60,6.5,False,False,False
45.00009,20.00004,28.33339,22,70,6.0,False,True,False
11.55402,6.4189,11.55402,20,60,6.5,False,False,False
15.35725,7.37148,13.51438,25,80,6.5,False,False,True
22.88655,10.1718,14.41005,22,70,6.0,False,True,False
10.49418,5.8301,10.49418,20,60,6.5,False,False,False
49.894110000000005,22.17516,31.414810000000003,22,70,6.0,False,True,False
20.637,11.465,20.637,20,60,6.5,False,False,False
3.62421,1.61076,3.62421,28,65,6.0,True,False,False
18.73611,8.32716,11.79681,22,70,6.0,False,True,False
67.5,30.0,42.5,22,70,6.0,False,True,False
12.00006,6.6667,12.00006,20,60,6.5,False,False,False
77.317,37.11216,68.03895999999999,25,80,6.5,False,False,True
19.56875,9.393,17.220499999999998,25,80,6.5,False,False,True
14.4,8.0,14.4,20,60,6.5,False,False,False
16.6585,7.996080000000001,14.65948,25,80,6.5,False,False,True
46.58825,22.36236,40.99766,25,80,6.5,False,False,True
11.66675,5.60004,10.26674,25,80,6.5,False,False,True
43.71435,19.4286,27.52385,22,70,6.0,False,True,False
2.86362,1.5909,2.86362,20,60,6.5,False,False,False
19.65042,10.9169,19.65042,20,60,6.5,False,False,False
67.87718999999998,30.167639999999995,42.73749,22,70,6.0,False,True,False
6.10227,2.71212,6.10227,28,65,6.0,True,False,False
8.493659999999998,3.77496,8.493659999999998,28,65,6.0,True,False,False
10.8,6.0,10.8,20,60,6.5,False,False,False
8.876000000000001,4.26048,7.810880000000001,25,80,6.5,False,False,True
68.116,32.69568,59.94208,25,80,6.5,False,False,True
18.26925,8.76924,16.07694,25,80,6.5,False,False,True
56.91897,25.29732,35.837869999999995,22,70,6.0,False,True,False
76.09085999999999,33.81816,47.90906,22,70,6.0,False,True,False
39.291,18.85968,34.576080000000005,25,80,6.5,False,False,True
81.0,36.0,51.0,22,70,6.0,False,True,False
18.61074,10.3393,18.61074,20,60,6.5,False,False,False
22.73616,10.10496,14.31536,22,70,6.0,False,True,False
42.34675,20.32644,37.26514,25,80,6.5,False,False,True
93.465,44.8632,82.2492,25,80,6.5,False,False,True
13.4615,6.46152,11.84612,25,80,6.5,False,False,True
92.7765,44.53272,81.64331999999999,25,80,6.5,False,False,True
30.681719999999995,13.636319999999998,19.31812,22,70,6.0,False,True,False
27.64503,12.28668,17.40613,22,70,6.0,False,True,False
1.38456,0.61536,0.87176,22,70,6.0,False,True,False
73.6515,35.352720000000005,64.81332,25,80,6.5,False,False,True
49.25961,21.89316,31.01531,22,70,6.0,False,True,False
61.111,29.33328,53.77768,25,80,6.5,False,False,True
16.92378,9.4021,16.92378,20,60,6.5,False,False,False
33.98814,18.8823,33.98814,20,60,6.5,False,False,False
33.24672,14.77632,20.93312,22,70,6.0,False,True,False
22.15377,9.84612,13.94867,22,70,6.0,False,True,False
15.714809999999998,6.984359999999999,9.89451,22,70,6.0,False,True,False
3.375,1.5,3.375,28,65,6.0,True,False,False
89.01875,42.729,78.3365,25,80,6.5,False,False,True
24.8975,11.9508,21.9098,25,80,6.5,False,False,True
11.17242,6.206900000000001,11.17242,20,60,6.5,False,False,False
12.91675,6.20004,11.36674,25,80,6.5,False,False,True
70.02925,33.61404,61.62574,25,80,6.5,False,False,True
3.375,1.5,3.375,28,65,6.0,True,False,False
10.96866,6.0937,10.96866,20,60,6.5,False,False,False
68.80275,30.579,43.32025,22,70,6.0,False,True,False
13.5,6.0,8.5,22,70,6.0,False,True,False
27.0,12.0,17.0,22,70,6.0,False,True,False
19.76526,10.9807,19.76526,20,60,6.5,False,False,False
38.99988,17.33328,24.55548,22,70,6.0,False,True,False
33.0565,15.86712,29.08972,25,80,6.5,False,False,True
24.42852,10.85712,15.38092,22,70,6.0,False,True,False
63.1575,30.3156,55.5786,25,80,6.5,False,False,True
27.23652,12.10512,17.14892,22,70,6.0,False,True,False
14.21064,6.31584,8.94744,22,70,6.0,False,True,False
53.49888,23.77728,33.68448,22,70,6.0,False,True,False
9.46325,4.54236,8.32766,25,80,6.5,False,False,True
10.36368,5.757599999999999,10.36368,20,60,6.5,False,False,False
13.029929999999998,5.791079999999999,13.029929999999998,28,65,6.0,True,False,False
28.08675,13.48164,24.71634,25,80,6.5,False,False,True
80.10063000000001,35.600280000000005,50.43373,22,70,6.0,False,True,False
10.8,4.800000000000001,6.800000000000001,22,70,6.0,False,True,False
12.00006,6.6667,12.00006,20,60,6.5,False,False,False
13.5,6.0,13.5,28,65,6.0,True,False,False
17.16318,9.5351,17.16318,20,60,6.5,False,False,False
25.97967,11.54652,16.35757,22,70,6.0,False,True,False
27.6315,13.26312,24.31572,25,80,6.5,False,False,True
17.59104,7.818239999999999,11.07584,22,70,6.0,False,True,False
2.05713,0.91428,2.05713,28,65,6.0,True,False,False
19.21825,9.22476,16.91206,25,80,6.5,False,False,True
116.23575,55.79316000000001,102.28746,25,80,6.5,False,False,True
46.36818,20.60808,29.19478,22,70,6.0,False,True,False
70.68060000000001,31.4136,44.50260000000001,22,70,6.0,False,True,False
45.00009,20.00004,28.33339,22,70,6.0,False,True,False
25.949250000000003,12.45564,22.83534,25,80,6.5,False,False,True
9.802,4.70496,8.62576,25,80,6.5,False,False,True
29.872260000000004,13.276560000000002,18.808460000000004,22,70,6.0,False,True,False
30.11325,14.454359999999998,26.49966,25,80,6.5,False,False,True
18.0,10.0,18.0,20,60,6.5,False,False,False
58.01725,27.84828,51.05518,25,80,6.5,False,False,True
18.5787,8.257200000000001,11.6977,22,70,6.0,False,True,False
9.88524,5.4918,9.88524,20,60,6.5,False,False,False
9.0,5.0,9.0,20,60,6.5,False,False,False
71.28,31.68,44.88,22,70,6.0,False,True,False
12.91375,6.198599999999999,11.3641,25,80,6.5,False,False,True
27.0,12.0,17.0,22,70,6.0,False,True,False
32.85009,14.600040000000002,20.683390000000003,22,70,6.0,False,True,False
9.39141,4.173959999999999,9.39141,28,65,6.0,True,False,False
23.132159999999995,12.8512,23.132159999999995,20,60,6.5,False,False,False
37.6596,16.7376,23.7116,22,70,6.0,False,True,False
5.659739999999999,3.1443,5.659739999999999,20,60,6.5,False,False,False
34.26057,15.22692,21.57147,22,70,6.0,False,True,False
9.75708,5.4206,9.75708,20,60,6.5,False,False,False
16.18704,8.992799999999999,16.18704,20,60,6.5,False,False,False
10.8,6.0,10.8,20,60,6.5,False,False,False
27.0,12.0,17.0,22,70,6.0,False,True,False
14.89176,8.273200000000001,14.89176,20,60,6.5,False,False,False
9.0,5.0,9.0,20,60,6.5,False,False,False
54.44928000000001,24.19968,34.282880000000006,22,70,6.0,False,True,False
19.75617,8.780520000000001,12.43907,22,70,6.0,False,True,False
10.65096,5.9172,10.65096,20,60,6.5,False,False,False
19.9155,9.55944,17.52564,25,80,6.5,False,False,True
6.48,2.88,6.48,28,65,6.0,True,False,False
62.00399999999999,29.76192,54.56352,25,80,6.5,False,False,True
2.99997,1.33332,2.99997,28,65,6.0,True,False,False
41.724250000000005,20.02764,36.71734,25,80,6.5,False,False,True
54.75,26.28,48.18,25,80,6.5,False,False,True
59.09976,26.26656,37.21096,22,70,6.0,False,True,False
49.1935,23.61288,43.29028,25,80,6.5,False,False,True
49.61628,22.05168,31.239880000000003,22,70,6.0,False,True,False
19.100520000000003,10.6114,19.100520000000003,20,60,6.5,False,False,False
88.4185,42.44088,77.80828,25,80,6.5,False,False,True
38.81763,17.252280000000003,24.44073,22,70,6.0,False,True,False
52.575,25.236000000000004,46.266000000000005,25,80,6.5,False,False,True
45.47367,20.21052,28.63157,22,70,6.0,False,True,False
13.06458,7.2581,13.06458,20,60,6.5,False,False,False
